"Allow Everything", "Allow Everything"
"Hello World Permission", "Hello World Permission"
"Hello World Settings", "Hello World Settings"
"Configuration", "Configuration"
"Enable Message", "Enable Message"
"Enable/Disable your custom message", "Enable/Disable your custom message"
"Message to display", "Message to display"
"Write here message you want to display", "Write here message you want to display"
"Hello World Test", "Hello World Test"
"Hey! Catch!", "Hey! Catch!"
"Hello World Module Sidebar", "Hello World Module Sidebar"
"Your custom message", "Your custom message"
